"","1","2","3","4","5"
"2",40.58,7.25,27.54,21.74,2.9
"5",46.38,2.9,28.99,20.29,1.45
"9",15.94,2.9,65.22,15.94,0
"10",37.68,8.7,33.33,20.29,0
"11",27.54,7.25,53.62,11.59,0
"12",23.19,8.7,30.43,34.78,2.9
"14",17.39,7.25,34.78,37.68,2.9
"36",18.84,1.45,68.12,10.14,1.45
"37",25,4.41,63.24,7.35,0
"26",63.77,2.9,21.74,11.59,0
"27",45.59,7.35,17.65,26.47,2.94
"75",39.13,5.8,28.99,24.64,1.45
"30",18.84,4.35,65.22,11.59,0
"16",62.32,5.8,20.29,11.59,0
"17",59.42,2.9,20.29,17.39,0
"43",18.84,68.12,13.04,0,0
"32",21.74,11.59,52.17,13.04,1.45
"21",63.77,10.14,18.84,5.8,1.45
"19",49.28,5.8,23.19,17.39,4.35
"42",30.43,1.45,43.48,24.64,0
"29",18.84,15.94,30.43,33.33,1.45
"54",20.29,1.45,56.52,21.74,0
"51",34.78,4.35,43.48,17.39,0
"56",23.19,8.7,49.28,18.84,0
"47",14.49,4.35,66.67,14.49,0
"52",73.91,1.45,10.14,14.49,0
"53",63.77,1.45,14.49,17.39,2.9
"71",8.7,1.45,88.41,1.45,0
"66",30.43,2.9,24.64,39.13,2.9
"62",44.93,2.9,24.64,26.09,1.45
"74",92.75,1.45,4.35,1.45,0
"72",17.39,7.25,69.57,5.8,0
"60",50.72,2.9,21.74,23.19,1.45
"67",52.17,2.9,24.64,17.39,2.9
"69",24.64,1.45,62.32,11.59,0
"63",51.47,5.88,25,16.18,1.47
"Total",37.44,6.77,37.4,17.33,1.05
